pp;couple;partner;condition;leuk;vriendelijk;aardig;aangenaam;fijn;vertrouwen;sympathie;graag;band;gemoed;responsief;invloed;opmerken;bewust;niet_alleen;chameleon;positive_perception;bond;copresence
1;1;1;3;4.006;4.976;5.012;2.982;5.036;5.042;5.048;3.922;4.982;2.265;5.873;2.434;6.217;6.482;6.259;0;22.012;16.277;27.265
2;1;2;3;3.299;3.037;3.197;3.045;3.806;2.715;2.783;4.659;3.51;5.876;5.555;4.254;5.361;4.558;6.89;0;16.384;16.033;26.618
3;2;2;3;4.499;5.073;4.144;4.744;4.676;5.056;5.572;5.563;4.0;1.0;1.0;1.0;1.0;1.177;1.194;0;23.136000000000003;17.191;5.3709999999999996
4;2;1;3;5.229;5.994;6.139;5.205;5.47;4.163;5.729;5.072;4.271;1.428;6.307;1.157;6.741;6.633;6.88;1;28.037;16.392;27.718
5;3;2;3;5.048;5.741;5.986;6.62;6.535;5.039;5.715;4.507;2.893;6.02;7.0;6.02;7.0;6.087;7.0;0;29.93;21.281;33.107
6;3;1;3;6.072;6.476;6.458;6.813;6.566;6.036;5.199;6.518;6.006;4.645;5.102;5.066;6.639;7.0;6.554;1;32.385;22.398;30.360999999999997
7;4;1;3;4.036;5.422;5.669;4.151;6.018;4.783;3.578;4.554;5.518;3.175;4.157;3.837;4.639;5.476;5.452;0;25.296;16.09;23.561
8;4;2;3;7.0;7.0;7.0;7.0;7.0;5.504;7.0;7.0;7.0;5.014;7.0;4.042;7.0;7.0;7.0;0;35.0;24.518;32.042
9;5;2;3;6.078;6.006;6.114;5.675;6.163;6.078;6.566;6.054;6.006;5.06;6.03;4.47;6.108;6.145;6.048;0;30.036;23.758000000000003;28.801000000000002
10;5;1;3;6.096;6.442;6.527;6.324;6.324;6.375;6.29;6.375;6.256;5.023;3.501;3.341;4.558;7.0;7.0;1;31.713;24.063;25.4
11;6;1;3;2.986;3.983;3.958;2.961;2.952;2.039;2.876;3.011;2.927;4.862;5.192;5.039;7.0;6.721;6.789;1;16.84;12.788;30.741
12;6;2;3;4.0;5.0;4.0;4.0;3.5;3.0;2.0;3.0;2.006;4.0;5.0;4.988;4.0;4.012;7.0;0;20.5;12.0;25.0
13;7;1;3;6.062;6.028;6.07;6.054;6.045;6.054;5.555;5.572;6.054;4.051;3.51;4.118;6.02;6.518;6.079;0;30.259;21.232;26.245
14;7;2;3;6.886;6.428;6.97;6.645;6.753;6.627;5.446;6.837;6.072;5.892;5.946;6.018;4.62;6.114;6.0;0;33.682;24.802;28.698
15;8;1;3;6.096;5.749;5.91;6.138;6.13;5.411;6.239;6.138;5.369;5.69;5.69;4.769;5.792;6.273;6.586;1;30.023;23.478;29.11
16;8;2;3;5.042;4.964;4.964;5.06;5.048;4.47;4.53;4.566;4.524;5.078;4.97;5.054;4.994;4.976;5.018;0;25.078000000000003;18.644;25.012
17;9;1;3;5.023;6.02;5.023;6.07;6.096;6.028;2.977;6.045;5.039;4.008;4.972;2.969;4.008;4.008;5.039;1;28.232;19.058;20.996000000000002
18;9;2;3;4.651;5.108;5.271;4.747;5.753;5.217;5.735;6.241;5.416;4.078;3.229;3.578;4.355;5.271;4.614;0;25.53;21.271;21.047
19;10;1;3;7.0;7.0;7.0;7.0;7.0;5.479;7.0;7.0;6.045;5.056;4.997;7.0;6.028;7.0;6.062;0;35.0;24.535;31.087
20;10;2;3;5.048;5.03;5.548;5.03;5.06;5.548;5.012;5.006;5.114;4.53;4.578;5.072;5.048;5.018;5.054;0;25.715999999999998;20.096;24.770000000000003
21;11;1;3;5.024;4.03;4.982;5.018;3.952;3.964;5.024;5.0;5.018;4.03;1.946;1.964;1.952;4.988;5.012;1;23.006;18.018;15.862000000000002
22;11;2;3;4.482;5.225;5.023;5.91;5.504;3.983;4.287;6.4;4.989;4.997;4.372;3.07;5.876;6.358;6.045;0;26.144;19.667;25.721000000000004
